P23, FacialExpression, ZoomorphicAbs, Scared, 2, 4, 4, 4
P23, FacialExpression, ZoomorphicAbs, Angry, 3, 5, 5, 5
P23, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P23, FacialExpression, ZoomorphicAbs, Surprised, 5, 5, 5, 5
P23, FacialExpression, ZoomorphicAbs, Sad, 2, 4, 3, 4
P23, FacialExpression, ZoomorphicReal, Angry, 3, 5, 5, 5
P23, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P23, FacialExpression, ZoomorphicReal, Happy, 0, 3, 2, 3
P23, FacialExpression, ZoomorphicReal, Sad, 2, 4, 4, 3
P23, FacialExpression, ZoomorphicReal, Scared, 5, 2, 3, 3
P23, FacialExpression, MechaScreenFace, Scared, 0, 2, 1, 2
P23, FacialExpression, MechaScreenFace, Happy, 1, 3, 3, 3
P23, FacialExpression, MechaScreenFace, Surprised, 5, 4, 4, 4
P23, FacialExpression, MechaScreenFace, Angry, 3, 5, 5, 4
P23, FacialExpression, MechaScreenFace, Sad, 2, 5, 4, 4
P23, FacialExpression, AnthroAbs, Happy, 1, 5, 5, 5
P23, FacialExpression, AnthroAbs, Surprised, 5, 5, 5, 5
P23, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 5
P23, FacialExpression, AnthroAbs, Scared, 2, 5, 5, 5
P23, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P23, FacialExpression, MechaEmoji, Surprised, 4, 2, 2, 2
P23, FacialExpression, MechaEmoji, Angry, 3, 4, 3, 2
P23, FacialExpression, MechaEmoji, Scared, 5, 4, 3, 3
P23, FacialExpression, MechaEmoji, Sad, 2, 4, 3, 3
P23, FacialExpression, MechaEmoji, Happy, 1, 3, 4, 3
P23, FacialExpression, AnthroManga, Angry, 3, 5, 5, 5
P23, FacialExpression, AnthroManga, Surprised, 5, 5, 5, 5
P23, FacialExpression, AnthroManga, Scared, 5, 5, 5, 4
P23, FacialExpression, AnthroManga, Happy, 1, 5, 5, 4
P23, FacialExpression, AnthroManga, Sad, 2, 5, 5, 3
P23, Sound, Beeps, Sad, 2, 3, 2, 2
P23, Sound, Beeps, Angry, 3, 3, 4, 4
P23, Sound, Beeps, Surprised, 4, 3, 4, 2
P23, Sound, Beeps, Scared, 4, 2, 3, 2
P23, Sound, Beeps, Happy, 1, 4, 4, 4
P23, Sound, CatNoises, Sad, 1, 5, 5, 4
P23, Sound, CatNoises, Scared, 3, 5, 5, 4
P23, Sound, CatNoises, Angry, 3, 2, 2, 2
P23, Sound, CatNoises, Surprised, 3, 4, 4, 4
P23, Sound, CatNoises, Happy, 3, 5, 5, 5
P23, Sound, Animalese, Sad, 3, 2, 1, 2
P23, Sound, Animalese, Angry, 0, 2, 2, 1
P23, Sound, Animalese, Surprised, 1, 2, 2, 1
P23, Sound, Animalese, Happy, 3, 2, 2, 1
P23, Sound, Animalese, Scared, 3, 2, 2, 1
P23, Sound, Musical, Angry, 4, 2, 3, 1
P23, Sound, Musical, Surprised, 1, 2, 3, 1
P23, Sound, Musical, Sad, 2, 2, 2, 1
P23, Sound, Musical, Happy, 1, 4, 4, 3
P23, Sound, Musical, Scared, 3, 2, 3, 2
P23, Sound, HumanNoises, Surprised, 3, 4, 3, 3
P23, Sound, HumanNoises, Scared, 3, 4, 4, 3
P23, Sound, HumanNoises, Angry, 3, 5, 5, 5
P23, Sound, HumanNoises, Happy, 1, 5, 4, 2
P23, Sound, HumanNoises, Sad, 2, 4, 3, 2
