P17, FacialExpression, ZoomorphicAbs, Happy, 1, 3, 4, 4
P17, FacialExpression, ZoomorphicAbs, Surprised, 4, 3, 2, 2
P17, FacialExpression, ZoomorphicAbs, Angry, 3, 4, 3, 5
P17, FacialExpression, ZoomorphicAbs, Scared, 2, 1, 1, 3
P17, FacialExpression, ZoomorphicAbs, Sad, 2, 2, 2, 2
P17, FacialExpression, ZoomorphicReal, Sad, 0, 4, 2, 4
P17, FacialExpression, ZoomorphicReal, Angry, 3, 5, 4, 5
P17, FacialExpression, ZoomorphicReal, Happy, 5, 5, 4, 5
P17, FacialExpression, ZoomorphicReal, Surprised, 5, 4, 4, 4
P17, FacialExpression, ZoomorphicReal, Scared, 0, 1, 1, 4
P17, FacialExpression, MechaScreenFace, Happy, 0, 1, 1, 1
P17, FacialExpression, MechaScreenFace, Surprised, 0, 1, 1, 1
P17, FacialExpression, MechaScreenFace, Sad, 0, 1, 1, 1
P17, FacialExpression, MechaScreenFace, Scared, 0, 1, 1, 1
P17, FacialExpression, MechaScreenFace, Angry, 0, 1, 1, 3
P17, FacialExpression, AnthroAbs, Surprised, 1, 4, 4, 3
P17, FacialExpression, AnthroAbs, Angry, 3, 5, 4, 5
P17, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P17, FacialExpression, AnthroAbs, Scared, 1, 4, 4, 3
P17, FacialExpression, AnthroAbs, Happy, 5, 5, 5, 5
P17, FacialExpression, MechaEmoji, Angry, 2, 5, 5, 5
P17, FacialExpression, MechaEmoji, Scared, 3, 3, 4, 4
P17, FacialExpression, MechaEmoji, Sad, 4, 4, 3, 4
P17, FacialExpression, MechaEmoji, Happy, 1, 5, 5, 5
P17, FacialExpression, MechaEmoji, Surprised, 0, 2, 2, 3
P17, FacialExpression, AnthroManga, Sad, 0, 1, 1, 1
P17, FacialExpression, AnthroManga, Surprised, 5, 4, 3, 3
P17, FacialExpression, AnthroManga, Scared, 2, 4, 3, 4
P17, FacialExpression, AnthroManga, Happy, 5, 5, 5, 5
P17, FacialExpression, AnthroManga, Angry, 3, 4, 4, 4
P17, Sound, Animalese, Happy, 1, 4, 4, 4
P17, Sound, Animalese, Surprised, 1, 3, 2, 2
P17, Sound, Animalese, Sad, 4, 2, 2, 2
P17, Sound, Animalese, Angry, 0, 4, 2, 2
P17, Sound, Animalese, Scared, 4, 4, 4, 5
P17, Sound, Beeps, Angry, 5, 5, 5, 5
P17, Sound, Beeps, Sad, 2, 4, 4, 4
P17, Sound, Beeps, Happy, 4, 4, 4, 5
P17, Sound, Beeps, Surprised, 1, 5, 5, 5
P17, Sound, Beeps, Scared, 4, 4, 4, 4
P17, Sound, HumanNoises, Happy, 1, 5, 3, 3
P17, Sound, HumanNoises, Surprised, 4, 4, 4, 4
P17, Sound, HumanNoises, Angry, 3, 5, 5, 5
P17, Sound, HumanNoises, Sad, 2, 5, 5, 3
P17, Sound, HumanNoises, Scared, 5, 5, 5, 3
P17, Sound, CatNoises, Happy, 3, 4, 4, 4
P17, Sound, CatNoises, Scared, 4, 5, 5, 5
P17, Sound, CatNoises, Surprised, 5, 5, 5, 5
P17, Sound, CatNoises, Angry, 3, 4, 4, 5
P17, Sound, CatNoises, Sad, 2, 5, 5, 5
P17, Sound, Musical, Scared, 0, 2, 1, 2
P17, Sound, Musical, Sad, 1, 4, 4, 4
P17, Sound, Musical, Happy, 1, 5, 5, 5
P17, Sound, Musical, Surprised, 2, 4, 4, 4
P17, Sound, Musical, Angry, 4, 4, 5, 5
