P22, Sound, Musical, Sad, 2, 4, 4, 5
P22, Sound, Musical, Scared, 4, 3, 4, 3
P22, Sound, Musical, Happy, 1, 5, 4, 5
P22, Sound, Musical, Angry, 4, 3, 3, 3
P22, Sound, Musical, Surprised, 2, 4, 4, 4
P22, Sound, CatNoises, Sad, 1, 4, 4, 5
P22, Sound, CatNoises, Happy, 1, 5, 5, 5
P22, Sound, CatNoises, Surprised, 3, 5, 5, 5
P22, Sound, CatNoises, Scared, 1, 4, 4, 4
P22, Sound, CatNoises, Angry, 3, 5, 4, 5
P22, Sound, HumanNoises, Scared, 0, 1, 1, 3
P22, Sound, HumanNoises, Happy, 1, 5, 2, 2
P22, Sound, HumanNoises, Angry, 3, 5, 2, 2
P22, Sound, HumanNoises, Sad, 2, 5, 3, 2
P22, Sound, HumanNoises, Surprised, 5, 2, 2, 2
P22, Sound, Beeps, Sad, 0, 1, 1, 3
P22, Sound, Beeps, Scared, 0, 1, 1, 2
P22, Sound, Beeps, Surprised, 4, 2, 1, 2
P22, Sound, Beeps, Angry, 4, 1, 1, 2
P22, Sound, Beeps, Happy, 1, 1, 2, 3
P22, Sound, Animalese, Angry, 0, 1, 1, 2
P22, Sound, Animalese, Happy, 0, 1, 1, 2
P22, Sound, Animalese, Scared, 0, 1, 1, 2
P22, Sound, Animalese, Surprised, 0, 1, 1, 2
P22, Sound, Animalese, Sad, 0, 1, 1, 2
P22, FacialExpression, MechaScreenFace, Angry, 3, 4, 4, 4
P22, FacialExpression, MechaScreenFace, Scared, 2, 4, 4, 4
P22, FacialExpression, MechaScreenFace, Surprised, 5, 4, 4, 4
P22, FacialExpression, MechaScreenFace, Sad, 2, 5, 5, 5
P22, FacialExpression, MechaScreenFace, Happy, 3, 4, 4, 5
P22, FacialExpression, ZoomorphicAbs, Happy, 1, 5, 5, 5
P22, FacialExpression, ZoomorphicAbs, Surprised, 1, 4, 5, 5
P22, FacialExpression, ZoomorphicAbs, Sad, 2, 5, 5, 5
P22, FacialExpression, ZoomorphicAbs, Scared, 2, 4, 4, 5
P22, FacialExpression, ZoomorphicAbs, Angry, 3, 5, 5, 5
P22, FacialExpression, MechaEmoji, Angry, 3, 5, 5, 5
P22, FacialExpression, MechaEmoji, Surprised, 1, 4, 4, 4
P22, FacialExpression, MechaEmoji, Happy, 1, 5, 4, 4
P22, FacialExpression, MechaEmoji, Scared, 4, 4, 4, 5
P22, FacialExpression, MechaEmoji, Sad, 2, 4, 4, 4
P22, FacialExpression, ZoomorphicReal, Scared, 2, 5, 4, 4
P22, FacialExpression, ZoomorphicReal, Sad, 2, 2, 3, 4
P22, FacialExpression, ZoomorphicReal, Surprised, 1, 5, 5, 5
P22, FacialExpression, ZoomorphicReal, Happy, 1, 4, 4, 5
P22, FacialExpression, ZoomorphicReal, Angry, 3, 4, 4, 5
P22, FacialExpression, AnthroManga, Angry, 3, 5, 4, 4
P22, FacialExpression, AnthroManga, Scared, 4, 5, 5, 5
P22, FacialExpression, AnthroManga, Sad, 2, 5, 4, 5
P22, FacialExpression, AnthroManga, Happy, 1, 5, 5, 5
P22, FacialExpression, AnthroManga, Surprised, 5, 4, 4, 5
P22, FacialExpression, AnthroAbs, Sad, 2, 5, 5, 5
P22, FacialExpression, AnthroAbs, Surprised, 1, 2, 3, 4
P22, FacialExpression, AnthroAbs, Scared, 2, 4, 4, 4
P22, FacialExpression, AnthroAbs, Happy, 1, 5, 4, 5
P22, FacialExpression, AnthroAbs, Angry, 3, 5, 5, 4
